authority_id,person_id,name_en,name_zh,authority_type,authority_label,value,url,evidence_source
AR0001,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,wikidata,Wikidata,Q77212,https://www.wikidata.org/wiki/Q77212,Wikidata API
AR0002,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,wikipedia_en,English Wikipedia,Johann Joachim Quantz,https://en.wikipedia.org/wiki/Johann_Joachim_Quantz,Wikidata sitelink
AR0003,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,viaf,VIAF,37180503,https://viaf.org/viaf/37180503/,Wikidata claims
AR0004,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,isni,ISNI,0000000108887580,https://isni.org/isni/0000000108887580,Wikidata claims
AR0005,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,loc,Library of Congress Name Authority,n79141193,https://id.loc.gov/authorities/names/n79141193,Wikidata claims
AR0006,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,gnd,Gemeinsame Normdatei,118747975,https://d-nb.info/gnd/118747975,Wikidata claims
AR0007,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,bnf,Bibliothèque nationale de France,14785622r,https://data.bnf.fr/ark:/12148/cb14785622r,Wikidata claims
AR0008,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,idref,IdRef,03431489X,https://www.idref.fr/03431489X,Wikidata claims
AR0009,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,ndl,National Diet Library Authority,00453502,https://id.ndl.go.jp/auth/ndlna/00453502,Wikidata claims
AR0010,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,bne,Biblioteca Nacional de España,XX1079543,https://datos.bne.es/persona/XX1079543.html,Wikidata claims
AR0011,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,nkc,National Library of the Czech Republic,jn19990006762,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=jn19990006762,Wikidata claims
AR0012,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,musicbrainz,MusicBrainz Artist,b5f059a4-579a-44f2-ab49-d4008ba27930,https://musicbrainz.org/artist/b5f059a4-579a-44f2-ab49-d4008ba27930,Wikidata claims
AR0013,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,discogs,Discogs Artist,840153,https://www.discogs.com/artist/840153,Wikidata claims
AR0014,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,official_website,Official website,http://www.quantz.info,http://www.quantz.info,Wikidata claims
AR0015,FM002,Theobald Boehm,特奧巴德・伯姆,wikidata,Wikidata,Q71003,https://www.wikidata.org/wiki/Q71003,Wikidata API
AR0016,FM002,Theobald Boehm,特奧巴德・伯姆,wikipedia_en,English Wikipedia,Theobald Boehm,https://en.wikipedia.org/wiki/Theobald_Boehm,Wikidata sitelink
AR0017,FM002,Theobald Boehm,特奧巴德・伯姆,wikipedia_zh,Chinese Wikipedia,特奧巴德・伯姆,https://zh.wikipedia.org/wiki/%E7%89%B9%E5%A5%A5%E5%B7%B4%E5%B0%94%E5%BE%B7%C2%B7%E5%BD%AA%E5%A7%86,Wikidata sitelink
AR0018,FM002,Theobald Boehm,特奧巴德・伯姆,viaf,VIAF,76499529,https://viaf.org/viaf/76499529/,Wikidata claims
AR0019,FM002,Theobald Boehm,特奧巴德・伯姆,isni,ISNI,0000000083956606,https://isni.org/isni/0000000083956606,Wikidata claims
AR0020,FM002,Theobald Boehm,特奧巴德・伯姆,loc,Library of Congress Name Authority,n81140264,https://id.loc.gov/authorities/names/n81140264,Wikidata claims
AR0021,FM002,Theobald Boehm,特奧巴德・伯姆,gnd,Gemeinsame Normdatei,118512552,https://d-nb.info/gnd/118512552,Wikidata claims
AR0022,FM002,Theobald Boehm,特奧巴德・伯姆,bnf,Bibliothèque nationale de France,13891635c,https://data.bnf.fr/ark:/12148/cb13891635c,Wikidata claims
AR0023,FM002,Theobald Boehm,特奧巴德・伯姆,idref,IdRef,032639872,https://www.idref.fr/032639872,Wikidata claims
AR0024,FM002,Theobald Boehm,特奧巴德・伯姆,ndl,National Diet Library Authority,001354958,https://id.ndl.go.jp/auth/ndlna/001354958,Wikidata claims
AR0025,FM002,Theobald Boehm,特奧巴德・伯姆,bne,Biblioteca Nacional de España,XX1047724,https://datos.bne.es/persona/XX1047724.html,Wikidata claims
