institution_link_id,person_id,name_en,institution_name,institution_qid,relationship_type,url
IN0009,FM094,Seiya Ueno,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0010,FM067,Jacques Zoon,Conservatorium van Amsterdam,Q1127380,educated_at,https://www.wikidata.org/wiki/Q1127380
IN0011,FM067,Jacques Zoon,Boston University,Q49110,employer,https://www.wikidata.org/wiki/Q49110
IN0012,FM067,Jacques Zoon,Indiana University,Q6608367,employer,https://www.wikidata.org/wiki/Q6608367
IN0013,FM067,Jacques Zoon,New England Conservatory,Q1347162,employer,https://www.wikidata.org/wiki/Q1347162
IN0014,FM092,Shigenori Kudo,Toho Gakuen School of Music,Q859262,educated_at,https://www.wikidata.org/wiki/Q859262
IN0015,FM066,Emmanuel Pahud,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0016,FM066,Emmanuel Pahud,Berlin Philharmonic,Q152222,member_of,https://www.wikidata.org/wiki/Q152222
IN0017,FM024,Peter-Lukas Graf,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0018,FM064,Patrick Gallois,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0019,FM023,Aurèle Nicolet,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0020,FM023,Aurèle Nicolet,Berlin University of the Arts,Q55038,employer,https://www.wikidata.org/wiki/Q55038
IN0021,FM023,Aurèle Nicolet,Hochschule für Musik Freiburg,Q650345,employer,https://www.wikidata.org/wiki/Q650345
IN0022,FM023,Aurèle Nicolet,Berlin Philharmonic,Q152222,member_of,https://www.wikidata.org/wiki/Q152222
IN0023,FM040,Walfrid Kujala,Eastman School of Music,Q1278284,educated_at,https://www.wikidata.org/wiki/Q1278284
IN0024,FM040,Walfrid Kujala,Huntington High School,Q5945368,educated_at,https://www.wikidata.org/wiki/Q5945368
IN0025,FM040,Walfrid Kujala,Bienen School of Music,Q4904546,employer,https://www.wikidata.org/wiki/Q4904546
IN0026,FM063,Pierre-Yves Artaud,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0027,FM063,Pierre-Yves Artaud,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0028,FM091,Jasmine Choi,Curtis Institute of Music,Q60450,educated_at,https://www.wikidata.org/wiki/Q60450
IN0029,FM091,Jasmine Choi,Juilliard School,Q503246,educated_at,https://www.wikidata.org/wiki/Q503246
IN0030,FM035,Frances Blaisdell,Red Bank Regional High School,Q7303695,educated_at,https://www.wikidata.org/wiki/Q7303695
IN0031,FM035,Frances Blaisdell,Stanford University,Q41506,employer,https://www.wikidata.org/wiki/Q41506
IN0032,FM052,Harvey Sollberger,Columbia University,Q49088,educated_at,https://www.wikidata.org/wiki/Q49088
IN0033,FM052,Harvey Sollberger,"University of California, San Diego",Q622664,employer,https://www.wikidata.org/wiki/Q622664
IN0034,FM052,Harvey Sollberger,Manhattan School of Music,Q1702106,employer,https://www.wikidata.org/wiki/Q1702106
IN0035,FM026,James Galway,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0036,FM026,James Galway,Guildhall School of Music and Drama,Q1419737,educated_at,https://www.wikidata.org/wiki/Q1419737
IN0037,FM026,James Galway,Royal College of Music,Q304985,educated_at,https://www.wikidata.org/wiki/Q304985
IN0038,FM026,James Galway,Berlin Philharmonic,Q152222,member_of,https://www.wikidata.org/wiki/Q152222
IN0039,FM018,Joseph Mariano,Eastman School of Music,Q1278284,employer,https://www.wikidata.org/wiki/Q1278284
IN0040,FM004,Jean-Louis Tulou,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0041,FM004,Jean-Louis Tulou,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0042,FM020,Jean-Pierre Rampal,Lycée Thiers,Q3268957,educated_at,https://www.wikidata.org/wiki/Q3268957
IN0043,FM020,Jean-Pierre Rampal,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0044,FM020,Jean-Pierre Rampal,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0046,FM070,Denis Bouriakov,Moscow Conservatory,Q215539,educated_at,https://www.wikidata.org/wiki/Q215539
IN0047,FM070,Denis Bouriakov,Royal Academy of Music,Q1144673,educated_at,https://www.wikidata.org/wiki/Q1144673
IN0048,FM042,Jeanne Baxtresser,Juilliard School,Q503246,educated_at,https://www.wikidata.org/wiki/Q503246
IN0049,FM042,Jeanne Baxtresser,Carnegie Mellon University,Q190080,employer,https://www.wikidata.org/wiki/Q190080
IN0050,FM042,Jeanne Baxtresser,Juilliard School,Q503246,employer,https://www.wikidata.org/wiki/Q503246
IN0051,FM042,Jeanne Baxtresser,New England Conservatory,Q1347162,employer,https://www.wikidata.org/wiki/Q1347162
IN0052,FM013,René Le Roy,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0053,FM013,René Le Roy,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0054,FM011,Louis Fleury,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
