person_bib_id,person_id,name_en,bib_id,title,relationship_note
PB0001,FM001,Johann Joachim Quantz,B001,Versuch einer Anweisung die Flöte traversiere zu spielen / On Playing the Flute,直接列於 bibliography_seeds.related_people。
PB0002,FM002,Theobald Boehm,B002,The Flute and Flute-Playing,直接列於 bibliography_seeds.related_people。
PB0003,FM007,Paul Taffanel,B003,Méthode complète de flûte,直接列於 bibliography_seeds.related_people。
PB0004,FM008,Philippe Gaubert,B003,Méthode complète de flûte,直接列於 bibliography_seeds.related_people。
PB0005,FM007,Paul Taffanel,B004,17 Grands exercices journaliers de mécanisme,直接列於 bibliography_seeds.related_people。
PB0006,FM008,Philippe Gaubert,B004,17 Grands exercices journaliers de mécanisme,直接列於 bibliography_seeds.related_people。
PB0007,FM012,Marcel Moyse,B005,De la sonorité: art et technique,直接列於 bibliography_seeds.related_people。
PB0008,FM012,Marcel Moyse,B006,Tone Development Through Interpretation,直接列於 bibliography_seeds.related_people。
PB0009,FM030,Trevor Wye,B007,Practice Books for the Flute,直接列於 bibliography_seeds.related_people。
PB0010,FM030,Trevor Wye,B008,Proper Flute Playing,直接列於 bibliography_seeds.related_people。
PB0011,FM012,Marcel Moyse,B009,Marcel Moyse: An Extraordinary Man,直接列於 bibliography_seeds.related_people。
PB0012,FM030,Trevor Wye,B009,Marcel Moyse: An Extraordinary Man,直接列於 bibliography_seeds.related_people。
PB0013,FM029,Michel Debost,B010,The Simple Flute: From A to Z,直接列於 bibliography_seeds.related_people。
PB0014,FM024,Peter-Lukas Graf,B011,Check-Up: 20 Basic Studies for Flutists,直接列於 bibliography_seeds.related_people。
PB0015,FM024,Peter-Lukas Graf,B012,Interpretation: How to Shape a Melodic Line,直接列於 bibliography_seeds.related_people。
PB0016,FM051,Robert Dick,B013,The Other Flute,直接列於 bibliography_seeds.related_people。
PB0017,FM051,Robert Dick,B014,Tone Development Through Extended Techniques,直接列於 bibliography_seeds.related_people。
PB0018,FM051,Robert Dick,B015,Circular Breathing for the Flutist,直接列於 bibliography_seeds.related_people。
PB0019,FM063,Pierre-Yves Artaud,B016,Flûtes au présent / Present Day Flutes,直接列於 bibliography_seeds.related_people。
