award_link_id,person_id,name_en,award_name,award_qid,url
AW0002,FM066,Emmanuel Pahud,Geneva International Music Competition,Q668053,https://www.wikidata.org/wiki/Q668053
AW0003,FM066,Emmanuel Pahud,Echo Klassik – Instrumentalist of the Year,Q113027324,https://www.wikidata.org/wiki/Q113027324
AW0004,FM066,Emmanuel Pahud,Echo Klassik – Instrumentalist of the Year,Q113027324,https://www.wikidata.org/wiki/Q113027324
AW0005,FM066,Emmanuel Pahud,Echo Klassik – Instrumentalist of the Year,Q113027324,https://www.wikidata.org/wiki/Q113027324
AW0006,FM066,Emmanuel Pahud,Echo Klassik – Instrumentalist of the Year,Q113027324,https://www.wikidata.org/wiki/Q113027324
AW0007,FM066,Emmanuel Pahud,Echo Klassik – Instrumentalist of the Year,Q113027324,https://www.wikidata.org/wiki/Q113027324
AW0008,FM066,Emmanuel Pahud,Chevalier des Arts et des Lettres,Q13452528,https://www.wikidata.org/wiki/Q13452528
AW0009,FM066,Emmanuel Pahud,Record academy awards,Q11349552,https://www.wikidata.org/wiki/Q11349552
AW0010,FM066,Emmanuel Pahud,Léonie Sonning Music Prize,Q1165751,https://www.wikidata.org/wiki/Q1165751
AW0011,FM023,Aurèle Nicolet,Geneva International Music Competition,Q668053,https://www.wikidata.org/wiki/Q668053
AW0012,FM052,Harvey Sollberger,Rome Prize,Q3405483,https://www.wikidata.org/wiki/Q3405483
AW0013,FM052,Harvey Sollberger,Guggenheim Fellowship,Q1316544,https://www.wikidata.org/wiki/Q1316544
AW0014,FM052,Harvey Sollberger,Arts and Letters Award in Music,Q107445033,https://www.wikidata.org/wiki/Q107445033
AW0015,FM026,James Galway,Officer of the Order of the British Empire,Q10762848,https://www.wikidata.org/wiki/Q10762848
AW0016,FM026,James Galway,Gramophone Award for Lifetime Achievement,Q21541633,https://www.wikidata.org/wiki/Q21541633
AW0017,FM026,James Galway,honorary doctor of the University of Miami,Q110471679,https://www.wikidata.org/wiki/Q110471679
AW0018,FM026,James Galway,Classic Brit Awards,Q1096102,https://www.wikidata.org/wiki/Q1096102
AW0019,FM026,James Galway,honorary Master of Arts,Q135189240,https://www.wikidata.org/wiki/Q135189240
AW0020,FM020,Jean-Pierre Rampal,Léonie Sonning Music Prize,Q1165751,https://www.wikidata.org/wiki/Q1165751
AW0021,FM020,Jean-Pierre Rampal,Officer of Arts and Letters,Q13452524,https://www.wikidata.org/wiki/Q13452524
AW0022,FM020,Jean-Pierre Rampal,Knight of the Legion of Honour,Q10855271,https://www.wikidata.org/wiki/Q10855271
AW0023,FM020,Jean-Pierre Rampal,Knight of the National Order of Merit,Q13422138,https://www.wikidata.org/wiki/Q13422138
AW0024,FM069,Sharon Bezaly,Echo Klassik – Instrumentalist of the Year,Q113027324,https://www.wikidata.org/wiki/Q113027324
AW0025,FM007,Paul Taffanel,Knight of the Legion of Honour,Q10855271,https://www.wikidata.org/wiki/Q10855271
AW0026,FM007,Paul Taffanel,Officer of the Legion of Honour,Q10855195,https://www.wikidata.org/wiki/Q10855195
AW0027,FM036,Doriot Anthony Dwyer,Sanford Medal,Q56604957,https://www.wikidata.org/wiki/Q56604957
AW0028,FM057,Frans Brüggen,Golden Medal for Merit to Culture,Q21950735,https://www.wikidata.org/wiki/Q21950735
AW0029,FM057,Frans Brüggen,Knight of the Order of the Netherlands Lion,Q1818405,https://www.wikidata.org/wiki/Q1818405
AW0030,FM057,Frans Brüggen,Eremedaille voor Kunst en Wetenschap in Goud,Q131625100,https://www.wikidata.org/wiki/Q131625100
AW0031,FM012,Marcel Moyse,Knight of the Legion of Honour,Q10855271,https://www.wikidata.org/wiki/Q10855271
AW0032,FM049,Hubert Laws,NEA Jazz Masters,Q488296,https://www.wikidata.org/wiki/Q488296
AW0033,FM005,Louis Dorus,Knight of the Legion of Honour,Q10855271,https://www.wikidata.org/wiki/Q10855271
AW0034,FM062,Claire Guimond,Ordre des arts et des lettres du Québec,Q50331242,https://www.wikidata.org/wiki/Q50331242
AW0035,FM008,Philippe Gaubert,Knight of the Legion of Honour,Q10855271,https://www.wikidata.org/wiki/Q10855271
AW0036,FM008,Philippe Gaubert,Prix de Rome,Q576434,https://www.wikidata.org/wiki/Q576434
AW0037,FM050,James Pellerite,National Flute Association Lifetime Achievement Award,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/james-pellerite
AW0038,FM087,Linda Chesis,President's Medal for Distinguished Teaching,,https://www.msmnyc.edu/news/faculty-focus-meet-linda-chesis-award-winning-flautist-and-chair-of-the-msm-woodwinds-department/
AW0039,FM089,Molly Alicia Barth,Grammy Award,,https://cantaloupemusic.com/artists/molly-barth
AW0040,FM032,Robert Willoughby,National Flute Association Lifetime Achievement Award,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/robert-willoughby
AW0042,FM054,Keith Underwood,National Flute Association Lifetime Achievement Award,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/keith-underwood
AW0045,FM088,Tara Helen O'Connor,Avery Fisher Career Grant,,https://music.yale.edu/people/tara-oconnor
AW0046,FM095,Yuki Koyama,Kobe International Flute Competition,,https://kobe-flute.jp/en/mission-en/
AW0047,FM099,Sébastian Jacot,Kobe International Flute Competition,,https://kobe-flute.jp/en/mission-en/
