lineage_id,person_id,name_en,relationship_type,related_name,related_qid,url,source
LG0002,FM066,Emmanuel Pahud,student_of,Michel Debost,Q2655549,https://www.wikidata.org/wiki/Q2655549,Wikidata claims
LG0003,FM066,Emmanuel Pahud,student_of,Alain Marion,Q2562822,https://www.wikidata.org/wiki/Q2562822,Wikidata claims
LG0004,FM066,Emmanuel Pahud,student_of,Christian Lardé,Q15319151,https://www.wikidata.org/wiki/Q15319151,Wikidata claims
LG0005,FM024,Peter-Lukas Graf,student_of,André Jaunet,Q519931,https://www.wikidata.org/wiki/Q519931,Wikidata claims
LG0006,FM024,Peter-Lukas Graf,student_of,Marcel Moyse,Q714209,https://www.wikidata.org/wiki/Q714209,Wikidata claims
LG0007,FM024,Peter-Lukas Graf,student_of,Roger Cortet,Q3438841,https://www.wikidata.org/wiki/Q3438841,Wikidata claims
LG0008,FM024,Peter-Lukas Graf,student,Luca Manghi,Q121078512,https://www.wikidata.org/wiki/Q121078512,Wikidata claims
LG0009,FM024,Peter-Lukas Graf,student,Iwona Glinka,Q135303052,https://www.wikidata.org/wiki/Q135303052,Wikidata claims
LG0010,FM064,Patrick Gallois,student_of,Jean-Pierre Rampal,Q186359,https://www.wikidata.org/wiki/Q186359,Wikidata claims
LG0011,FM063,Pierre-Yves Artaud,student,Alexandra Grot,Q2833280,https://www.wikidata.org/wiki/Q2833280,Wikidata claims
LG0012,FM063,Pierre-Yves Artaud,student,Iwona Glinka,Q135303052,https://www.wikidata.org/wiki/Q135303052,Wikidata claims
LG0013,FM091,Jasmine Choi,student_of,Julius Baker,Q2670080,https://www.wikidata.org/wiki/Q2670080,Wikidata claims
LG0014,FM091,Jasmine Choi,student_of,Jeffrey Khaner,Q6176099,https://www.wikidata.org/wiki/Q6176099,Wikidata claims
LG0015,FM065,Philippe Bernold,student,Stathis Karapanos,Q136644825,https://www.wikidata.org/wiki/Q136644825,Wikidata claims
LG0016,FM030,Trevor Wye,student,Joaquín Gericó Trilla,Q2542771,https://www.wikidata.org/wiki/Q2542771,Wikidata claims
LG0017,FM004,Jean-Louis Tulou,student_of,Johann Georg Wunderlich,Q95634,https://www.wikidata.org/wiki/Q95634,Wikidata claims
LG0018,FM004,Jean-Louis Tulou,student,Jules Demersseman,Q721362,https://www.wikidata.org/wiki/Q721362,Wikidata claims
LG0019,FM004,Jean-Louis Tulou,student,Eugène Walckiers,Q1373597,https://www.wikidata.org/wiki/Q1373597,Wikidata claims
LG0020,FM020,Jean-Pierre Rampal,student_of,Gaston Crunelle,Q3098960,https://www.wikidata.org/wiki/Q3098960,Wikidata claims
LG0021,FM020,Jean-Pierre Rampal,student,Patrick Gallois,Q1234459,https://www.wikidata.org/wiki/Q1234459,Wikidata claims
LG0022,FM020,Jean-Pierre Rampal,student,Cécile Daroux,Q3009724,https://www.wikidata.org/wiki/Q3009724,Wikidata claims
LG0023,FM020,Jean-Pierre Rampal,student,Marc Zuili,Q16662871,https://www.wikidata.org/wiki/Q16662871,Wikidata claims
LG0024,FM013,René Le Roy,student,Cyprien Katsaris,Q1148343,https://www.wikidata.org/wiki/Q1148343,Wikidata claims
LG0025,FM011,Louis Fleury,student_of,Paul Taffanel,Q287462,https://www.wikidata.org/wiki/Q287462,Wikidata claims
LG0026,FM022,Maxence Larrieu,student,Jean Ferrandis,Q3171997,https://www.wikidata.org/wiki/Q3171997,Wikidata claims
