recording_search_id,person_id,name_en,name_zh,search_type,url,purpose
RS0001,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,musicbrainz_artist,https://musicbrainz.org/artist/b5f059a4-579a-44f2-ab49-d4008ba27930,MusicBrainz artist page for recordings and release groups.
RS0002,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,discogs_artist,https://www.discogs.com/artist/840153,Discogs artist page for commercial release data.
RS0003,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,worldcat_recordings,https://search.worldcat.org/search?q=Johann%20Joachim%20Quantz%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0004,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,youtube_performance_search,https://www.youtube.com/results?search_query=Johann%20Joachim%20Quantz%20flute,"Find publicly available performances, interviews and masterclasses."
RS0005,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,spotify_search,https://open.spotify.com/search/Johann%20Joachim%20Quantz%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0006,FM002,Theobald Boehm,特奧巴德・伯姆,musicbrainz_artist,https://musicbrainz.org/artist/7b264680-b71a-499a-b5ef-79ebcf39cfab,MusicBrainz artist page for recordings and release groups.
RS0007,FM002,Theobald Boehm,特奧巴德・伯姆,discogs_artist,https://www.discogs.com/artist/2631930,Discogs artist page for commercial release data.
RS0008,FM002,Theobald Boehm,特奧巴德・伯姆,worldcat_recordings,https://search.worldcat.org/search?q=Theobald%20Boehm%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0009,FM002,Theobald Boehm,特奧巴德・伯姆,youtube_performance_search,https://www.youtube.com/results?search_query=Theobald%20Boehm%20flute,"Find publicly available performances, interviews and masterclasses."
RS0010,FM002,Theobald Boehm,特奧巴德・伯姆,spotify_search,https://open.spotify.com/search/Theobald%20Boehm%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0011,FM003,Charles Nicholson,查爾斯・尼科爾森,musicbrainz_search,https://musicbrainz.org/search?query=Charles%20Nicholson%20flute&type=artist&method=indexed,Search MusicBrainz for an artist recording authority.
RS0012,FM003,Charles Nicholson,查爾斯・尼科爾森,discogs_search,https://www.discogs.com/search/?q=Charles%20Nicholson%20flute&type=all,Search Discogs for commercial releases.
RS0013,FM003,Charles Nicholson,查爾斯・尼科爾森,worldcat_recordings,https://search.worldcat.org/search?q=Charles%20Nicholson%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0014,FM003,Charles Nicholson,查爾斯・尼科爾森,youtube_performance_search,https://www.youtube.com/results?search_query=Charles%20Nicholson%20flute,"Find publicly available performances, interviews and masterclasses."
RS0015,FM003,Charles Nicholson,查爾斯・尼科爾森,spotify_search,https://open.spotify.com/search/Charles%20Nicholson%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0016,FM004,Jean-Louis Tulou,讓-路易・圖盧,musicbrainz_artist,https://musicbrainz.org/artist/09fbc3a4-bc37-432f-8a98-42ab450f4f81,MusicBrainz artist page for recordings and release groups.
RS0017,FM004,Jean-Louis Tulou,讓-路易・圖盧,discogs_artist,https://www.discogs.com/artist/3806264,Discogs artist page for commercial release data.
RS0018,FM004,Jean-Louis Tulou,讓-路易・圖盧,worldcat_recordings,https://search.worldcat.org/search?q=Jean-Louis%20Tulou%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0019,FM004,Jean-Louis Tulou,讓-路易・圖盧,youtube_performance_search,https://www.youtube.com/results?search_query=Jean-Louis%20Tulou%20flute,"Find publicly available performances, interviews and masterclasses."
RS0020,FM004,Jean-Louis Tulou,讓-路易・圖盧,spotify_search,https://open.spotify.com/search/Jean-Louis%20Tulou%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0021,FM005,Louis Dorus,路易・多魯斯,musicbrainz_artist,https://musicbrainz.org/artist/1c6a3d71-913d-40c2-a93b-5fea342b1d42,MusicBrainz artist page for recordings and release groups.
RS0022,FM005,Louis Dorus,路易・多魯斯,discogs_search,https://www.discogs.com/search/?q=Louis%20Dorus%20flute&type=all,Search Discogs for commercial releases.
RS0023,FM005,Louis Dorus,路易・多魯斯,worldcat_recordings,https://search.worldcat.org/search?q=Louis%20Dorus%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0024,FM005,Louis Dorus,路易・多魯斯,youtube_performance_search,https://www.youtube.com/results?search_query=Louis%20Dorus%20flute,"Find publicly available performances, interviews and masterclasses."
RS0025,FM005,Louis Dorus,路易・多魯斯,spotify_search,https://open.spotify.com/search/Louis%20Dorus%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0026,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,musicbrainz_artist,https://musicbrainz.org/artist/7572dd3c-e58d-4fde-bb4b-d683ea91a75f,MusicBrainz artist page for recordings and release groups.
RS0027,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,discogs_search,https://www.discogs.com/search/?q=Joseph-Henri%20Alt%C3%A8s%20flute&type=all,Search Discogs for commercial releases.
RS0028,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,worldcat_recordings,https://search.worldcat.org/search?q=Joseph-Henri%20Alt%C3%A8s%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0029,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,youtube_performance_search,https://www.youtube.com/results?search_query=Joseph-Henri%20Alt%C3%A8s%20flute,"Find publicly available performances, interviews and masterclasses."
RS0030,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,spotify_search,https://open.spotify.com/search/Joseph-Henri%20Alt%C3%A8s%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0031,FM007,Paul Taffanel,保羅・塔法奈爾,musicbrainz_artist,https://musicbrainz.org/artist/b81c7ece-a099-44a7-95d1-0d4a14cd9e06,MusicBrainz artist page for recordings and release groups.
RS0032,FM007,Paul Taffanel,保羅・塔法奈爾,discogs_artist,https://www.discogs.com/artist/1822934,Discogs artist page for commercial release data.
RS0033,FM007,Paul Taffanel,保羅・塔法奈爾,worldcat_recordings,https://search.worldcat.org/search?q=Paul%20Taffanel%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0034,FM007,Paul Taffanel,保羅・塔法奈爾,youtube_performance_search,https://www.youtube.com/results?search_query=Paul%20Taffanel%20flute,"Find publicly available performances, interviews and masterclasses."
RS0035,FM007,Paul Taffanel,保羅・塔法奈爾,spotify_search,https://open.spotify.com/search/Paul%20Taffanel%20flute,Search streaming releases; verify against labels/catalogues before citation.
