scholarly_search_id,person_id,name_en,name_zh,search_type,url,purpose
SS0001,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,google_scholar,https://scholar.google.com/scholar?q=%22Johann%20Joachim%20Quantz%22%20flute,"Search Google Scholar for papers, citations and books."
SS0002,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,crossref,https://search.crossref.org/?q=%22Johann%20Joachim%20Quantz%22%20flute,Search Crossref for DOI-bearing publications.
SS0003,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,semantic_scholar,https://www.semanticscholar.org/search?q=%22Johann%20Joachim%20Quantz%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0004,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,worldcat_books,https://search.worldcat.org/search?q=%22Johann%20Joachim%20Quantz%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0005,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,worldcat_dissertations,https://search.worldcat.org/search?q=%22Johann%20Joachim%20Quantz%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0006,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Johann%20Joachim%20Quantz%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0007,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Johann%20Joachim%20Quantz%22%20flute,Search JSTOR for journals and book chapters.
SS0008,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,project_muse,https://muse.jhu.edu/search?action=search&query=%22Johann%20Joachim%20Quantz%22%20flute,Search Project MUSE for humanities scholarship.
SS0009,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,proquest,https://www.proquest.com/search?query=%22Johann%20Joachim%20Quantz%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0010,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0011,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,nfa_site,https://www.google.com/search?q=%22Johann%20Joachim%20Quantz%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0012,FM002,Theobald Boehm,特奧巴德・伯姆,google_scholar,https://scholar.google.com/scholar?q=%22Theobald%20Boehm%22%20flute,"Search Google Scholar for papers, citations and books."
SS0013,FM002,Theobald Boehm,特奧巴德・伯姆,crossref,https://search.crossref.org/?q=%22Theobald%20Boehm%22%20flute,Search Crossref for DOI-bearing publications.
SS0014,FM002,Theobald Boehm,特奧巴德・伯姆,semantic_scholar,https://www.semanticscholar.org/search?q=%22Theobald%20Boehm%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0015,FM002,Theobald Boehm,特奧巴德・伯姆,worldcat_books,https://search.worldcat.org/search?q=%22Theobald%20Boehm%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0016,FM002,Theobald Boehm,特奧巴德・伯姆,worldcat_dissertations,https://search.worldcat.org/search?q=%22Theobald%20Boehm%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
