event_id,person_id,name_en,name_zh,event_type,date_or_value,place_or_context,source
EV0001,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,birth,1697-01-30,Scheden,Wikidata claims
EV0002,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,death,1773-07-12,Potsdam,Wikidata claims
EV0003,FM002,Theobald Boehm,特奧巴德・伯姆,birth,1794-04-09,Munich,Wikidata claims
EV0004,FM002,Theobald Boehm,特奧巴德・伯姆,death,1881-11-25,Munich,Wikidata claims
EV0007,FM004,Jean-Louis Tulou,讓-路易・圖盧,birth,1786-09-12,Paris,Wikidata claims
EV0008,FM004,Jean-Louis Tulou,讓-路易・圖盧,death,1865-07-23,Nantes,Wikidata claims
EV0009,FM005,Louis Dorus,路易・多魯斯,birth,1812-03-01,Valenciennes,Wikidata claims
EV0010,FM005,Louis Dorus,路易・多魯斯,death,1896-06-09,Étretat,Wikidata claims
EV0011,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,birth,1826-01-18,Rouen,Wikidata claims
EV0012,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,death,1895-07-24,rue Oudinot,Wikidata claims
EV0013,FM007,Paul Taffanel,保羅・塔法奈爾,birth,1844-09-16,Bordeaux,Wikidata claims
EV0014,FM007,Paul Taffanel,保羅・塔法奈爾,death,1908-11-22,avenue Gourgaud,Wikidata claims
EV0015,FM008,Philippe Gaubert,菲利普・高貝爾,birth,1879-07-04,Cahors,Wikidata claims
EV0016,FM008,Philippe Gaubert,菲利普・高貝爾,death,1941-07-08,Paris,Wikidata claims
EV0017,FM009,Adolphe Hennebains,阿道夫・亨內班,birth,1862-11-14,Saint-Omer,Wikidata claims
EV0018,FM009,Adolphe Hennebains,阿道夫・亨內班,death,1914-09-17,Paris,Wikidata claims
EV0019,FM010,Georges Barrère,喬治・巴雷爾,birth,1876-10-31,Bordeaux,Wikidata claims
EV0020,FM010,Georges Barrère,喬治・巴雷爾,death,1944-06-14,Kingston,Wikidata claims
EV0021,FM011,Louis Fleury,路易・弗勒里,birth,1878-05-24,4th arrondissement of Lyon,Wikidata claims
EV0022,FM011,Louis Fleury,路易・弗勒里,death,1926-06-10,16th arrondissement of Paris,Wikidata claims
EV0023,FM012,Marcel Moyse,馬塞爾・莫伊茲,birth,1889-05-17,Saint-Amour,Wikidata claims
EV0024,FM012,Marcel Moyse,馬塞爾・莫伊茲,death,1984-11-01,Brattleboro,Wikidata claims
EV0025,FM013,René Le Roy,勒內・勒魯瓦,birth,1898-03-04,Maisons-Laffitte,Wikidata claims
EV0026,FM013,René Le Roy,勒內・勒魯瓦,death,1985-01-03,Épinay-sur-Orge,Wikidata claims
EV0027,FM014,Gaston Crunelle,加斯東・克呂內爾,birth,1898-08-18,Douai,Wikidata claims
EV0028,FM014,Gaston Crunelle,加斯東・克呂內爾,death,1990-01-13,Le Chesnay,Wikidata claims
EV0029,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,birth,1875-08-29,Viggiano,Wikidata claims
EV0030,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,death,1962-07-29,Santa Barbara,Wikidata claims
EV0031,FM016,Georges Laurent,喬治・洛朗,birth,1886,,manual life_dates field
EV0032,FM016,Georges Laurent,喬治・洛朗,death,1964,,manual life_dates field
EV0035,FM018,Joseph Mariano,約瑟夫・馬里亞諾,birth,1911-03-17,Pittsburgh,Wikidata claims
EV0036,FM018,Joseph Mariano,約瑟夫・馬里亞諾,death,2007-02-15,,Wikidata claims
EV0037,FM019,Julius Baker,朱利葉斯・貝克,birth,1915-09-23,Cleveland,Wikidata claims
EV0038,FM019,Julius Baker,朱利葉斯・貝克,death,2003-08-06,Danbury,Wikidata claims
