recording_id,person_id,name_en,name_zh,source,source_artist_id,release_group_id,title,first_release_date,primary_type,secondary_types,url,disambiguation
RC00001,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,00a9fc21-120b-479e-8e1f-4b6262118555,Flute Sonatas,2002-12,Album,,https://musicbrainz.org/release-group/00a9fc21-120b-479e-8e1f-4b6262118555,
RC00002,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,0cd86dac-70d6-4f6e-9991-c7609c0cb94f,Musik am Berliner Hof,1992,Album,,https://musicbrainz.org/release-group/0cd86dac-70d6-4f6e-9991-c7609c0cb94f,
RC00003,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,153a57da-1089-43d7-87cf-8b79e906ec84,"Meditation, Volume 4",1992,Album,Compilation,https://musicbrainz.org/release-group/153a57da-1089-43d7-87cf-8b79e906ec84,
RC00004,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,185b37b2-b6f5-43d1-a326-95c64bc6ce21,Baroque Flute Sonatas on Historical Instruments,,Album,,https://musicbrainz.org/release-group/185b37b2-b6f5-43d1-a326-95c64bc6ce21,
RC00005,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,1a15dc91-3a80-4329-9d82-a7e867298fd1,The Solists of the Virtuosi Saxoniae,2002-01-15,Album,,https://musicbrainz.org/release-group/1a15dc91-3a80-4329-9d82-a7e867298fd1,
RC00006,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,1fbb00a1-d23e-4f6c-be5c-79683efa997d,Trio Sonatas,2022-07-15,Album,,https://musicbrainz.org/release-group/1fbb00a1-d23e-4f6c-be5c-79683efa997d,
RC00007,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,22263d94-0cd4-4274-b3f9-cb46896806e6,Flute Sonatas,1997,Album,,https://musicbrainz.org/release-group/22263d94-0cd4-4274-b3f9-cb46896806e6,
RC00008,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,299d3be7-0d6e-4d8a-ac35-b4ca9f90955a,"Music by C.P.E. Bach, Quantz, Telemann & Vivaldi",,Album,Compilation,https://musicbrainz.org/release-group/299d3be7-0d6e-4d8a-ac35-b4ca9f90955a,
RC00009,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,3cc5ed18-7322-4896-9116-c92a6b84c064,Heifetz Plays Baroque,,Album,,https://musicbrainz.org/release-group/3cc5ed18-7322-4896-9116-c92a6b84c064,
RC00010,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,4d752b15-6cb5-3b07-a68d-b0d7348196d4,"7 Sonatas for Flute and Basso Continuo (baroque flute: Benedek Csalog, harpsichord: Rita Papp)",2002,Album,,https://musicbrainz.org/release-group/4d752b15-6cb5-3b07-a68d-b0d7348196d4,
RC00011,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,MusicBrainz release-group API,b5f059a4-579a-44f2-ab49-d4008ba27930,65ced967-d95a-438e-b68d-cfb9d904e8e6,Musik in Sanssouci,,Album,,https://musicbrainz.org/release-group/65ced967-d95a-438e-b68d-cfb9d904e8e6,
